,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10083,spotify:track:03R98jsbedDpyZmB1tFfZm,0.45799999999999996,0.36200000000000004,2.0,-12.289000000000001,0.0,0.0253,0.675,0.0153,0.105,0.397,77.032,282680.0,4.0
10084,spotify:track:0De8H4o9xzPtjRp9dns0L5,0.22699999999999998,0.457,2.0,-7.459,1.0,0.0299,0.0979,0.00044699999999999997,0.18899999999999997,0.371,106.727,213987.0,4.0
10085,spotify:track:5rshHQIKzEMslZ2q5OOd1Y,0.13,0.385,9.0,-8.285,1.0,0.0309,0.46299999999999997,0.205,0.081,0.29100000000000004,171.06900000000002,119227.0,4.0
10086,spotify:track:51JNZr0bBwOMFoSnB2oDNv,0.5529999999999999,0.517,2.0,-8.008,1.0,0.025,0.564,0.569,0.455,0.35,81.357,450987.0,4.0
10087,spotify:track:6dw77SiVkP3HurqIYE7twQ,0.632,0.256,3.0,-12.081,1.0,0.0335,0.657,0.00028399999999999996,0.0811,0.461,106.039,379893.0,4.0
10088,spotify:track:6pj2yQlRvxYKLMxMTJaUUT,0.512,0.691,8.0,-6.794,0.0,0.0384,0.16399999999999998,0.000241,0.11,0.518,121.807,413640.0,4.0
10089,spotify:track:2DNyZP4Py6f4zMASLBnIu6,0.589,0.552,9.0,-5.707000000000001,1.0,0.0268,0.175,0.0,0.106,0.311,88.535,247693.0,4.0
10090,spotify:track:0cXFXgFns7sIMmTpqyGRmD,0.635,0.584,6.0,-9.112,1.0,0.0296,0.11800000000000001,0.0,0.29,0.711,127.626,208240.0,4.0
10091,spotify:track:5prTs2HAw2G4idHZyeFp8o,0.435,0.6579999999999999,8.0,-8.179,1.0,0.0661,0.195,0.0,0.102,0.184,130.276,269787.0,4.0
10092,spotify:track:4waqcUQWdj0yH26STWl2Rq,0.7829999999999999,0.685,9.0,-5.008,1.0,0.0271,0.627,3.49e-06,0.10800000000000001,0.54,107.01,236333.0,4.0
10093,spotify:track:3tGjDR45XGBw4xV7eBnXSo,0.5529999999999999,0.727,4.0,-6.395,0.0,0.0254,0.584,0.138,0.113,0.507,104.95,357160.0,4.0
10094,spotify:track:5TKXTpJmW1CEOuWLG20KPG,0.514,0.337,10.0,-8.055,0.0,0.0265,0.7709999999999999,1.16e-06,0.325,0.28800000000000003,137.486,212516.0,4.0
10095,spotify:track:41AtPa0RB4WZxbMag1S5Ym,0.309,0.838,2.0,-8.134,1.0,0.132,0.0851,0.63,0.14300000000000002,0.391,115.26,810322.0,4.0
10096,spotify:track:4d0eRQkWI8LrRJfCHmyOVI,0.618,0.188,4.0,-16.797,0.0,0.0286,0.917,0.155,0.10400000000000001,0.429,95.38600000000001,176800.0,4.0
10097,spotify:track:77K5TB5KZmDZCoJCdd1NvE,0.474,0.0404,9.0,-22.208000000000002,0.0,0.0387,0.948,0.000263,0.111,0.18,119.415,310773.0,3.0
10098,spotify:track:2u6PeEPCbQUP656PbSi7AH,0.674,0.152,1.0,-18.557000000000002,1.0,0.0461,0.877,0.0953,0.113,0.251,102.859,234467.0,4.0
10099,spotify:track:6KlaPWamLk2ctZxaGvEXOC,0.474,0.6970000000000001,11.0,-3.318,1.0,0.0375,0.0194,0.0,0.147,0.462,125.10700000000001,177813.0,3.0
10100,spotify:track:03CK09Va5nmnr4UwubyZtz,0.324,0.6990000000000001,6.0,-4.541,1.0,0.0374,0.00149,4e-06,0.0971,0.174,185.87900000000002,248213.0,4.0
10101,spotify:track:6GnwzNky8Gh3zZsg0IkOvc,0.664,0.669,1.0,-6.59,1.0,0.0272,0.184,0.0,0.131,0.536,124.963,246307.0,4.0
10102,spotify:track:6FstWkgRdHagqJ6qjDbiK0,0.615,0.763,9.0,-4.1419999999999995,1.0,0.0294,0.0119,0.0,0.0648,0.426,131.02200000000002,248720.0,4.0
10103,spotify:track:55BClNby0SuB7MHxp1Tdn8,0.644,0.784,8.0,-4.577,1.0,0.0286,0.0819,0.0,0.0765,0.9179999999999999,132.028,175867.0,4.0
10104,spotify:track:0Gb0HHBCpDL3lYqaabpVu8,0.591,0.899,8.0,-4.427,1.0,0.0377,0.0351,0.0,0.102,0.536,128.041,230600.0,4.0
10105,spotify:track:6mZLg14FVI4REkd1G4eS8f,0.619,0.369,3.0,-8.25,1.0,0.0292,0.6970000000000001,0.0,0.203,0.36,124.98100000000001,172373.0,4.0
10106,spotify:track:38paDDziQ57k1f4VfKTeGk,0.622,0.736,9.0,-9.229,1.0,0.0292,0.42200000000000004,1.18e-05,0.0829,0.723,110.24,298533.0,4.0
10107,spotify:track:0d45cfkLJenOL7reK0mwg6,0.271,0.0516,5.0,-28.394000000000002,0.0,0.0436,0.968,0.924,0.11,0.386,87.681,282796.0,5.0
10108,spotify:track:1Ie9f3GhRMCg3qAS8xl0Er,0.38299999999999995,0.0278,9.0,-27.096,1.0,0.0612,0.9890000000000001,0.762,0.0994,0.272,101.53399999999999,57023.0,1.0
10109,spotify:track:74hBqlLbRf6zBn7aZ65xdE,0.244,0.129,5.0,-24.198,0.0,0.0276,0.912,0.899,0.0957,0.207,80.806,144474.0,3.0
10110,spotify:track:5OLv8P0JSaXFB95rw5saRv,0.43799999999999994,0.0127,5.0,-36.218,1.0,0.0725,0.983,0.9359999999999999,0.0809,0.17300000000000001,133.299,185947.0,4.0
